date,close,cycle_phase,cycle_confidence,transition_risk,composite_score,zigzag_structure,stc_value,zigzag_score,stc_score,trend_score,trend_price_vs_sma200_pct,trend_sma50_vs_sma200_pct,stc_direction,raw_phase,raw_transition_risk,candlestick_score,candlestick_patterns,harmonic_pattern,harmonic_score,gann_score,gann_active_cycle_days
2022-01-07,746.90283203125,DISTRIBUTION,1.0,low,0.662,CONTRACTING_RANGE,98.55,0.0,0.985,1.0,17.58,10.72,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2022-01-12,758.1317749023438,DISTRIBUTION,1.0,low,0.537,CONTRACTING_RANGE,99.82,0.0,0.611,1.0,18.71,10.4,RISING,EXPANSION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2022-01-17,765.7476806640625,DISTRIBUTION,1.0,low,0.505,CONTRACTING_RANGE,99.98,0.0,0.514,1.0,19.18,10.04,RISING,EXPANSION,low,0.6,"BEARISH_ENGULFING,BULLISH_ENGULFING",,0.0,0.0,
2022-01-20,734.3136596679688,EXPANSION,1.0,low,0.707,HIGHER_HIGHS_HIGHER_LOWS,87.34,1.0,0.122,1.0,13.66,9.44,FALLING,EXPANSION,low,-0.5,"BEARISH_ENGULFING,BULLISH_ENGULFING",CRAB,-0.8,0.0,
2022-01-25,679.0712890625,EXPANSION,0.67,high,0.256,HIGHER_HIGHS_HIGHER_LOWS,10.92,1.0,-0.891,0.658,4.62,8.54,FALLING,DISTRIBUTION,high,0.0,,CRAB,-0.8,0.0,
2022-01-31,682.630615234375,EXPANSION,0.67,high,0.207,HIGHER_HIGHS_HIGHER_LOWS,1.36,1.0,-0.986,0.606,4.67,7.44,FALLING,DISTRIBUTION,high,1.0,DOJI,,0.0,0.0,
2022-02-03,693.3963012695312,EXPANSION,0.67,high,0.342,HIGHER_HIGHS_HIGHER_LOWS,0.17,1.0,-0.604,0.63,5.74,6.86,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2022-02-08,687.9695434570312,EXPANSION,0.67,low,0.007,CONTRACTING_RANGE,0.02,0.0,-0.513,0.535,4.34,6.37,FALLING,DISTRIBUTION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2022-02-11,683.7373657226562,DISTRIBUTION,0.33,low,-0.017,CONTRACTING_RANGE,0.0,0.0,-0.502,0.45,3.16,5.83,FALLING,DISTRIBUTION,low,-1.0,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2022-02-16,689.2957763671875,DISTRIBUTION,0.67,medium,0.068,LOWER_HIGHS_LOWER_LOWS,75.0,-1.0,0.75,0.453,3.63,5.42,RISING,ACCUMULATION,medium,-1.0,DOJI,,0.0,0.0,
2022-02-21,683.2254638671875,DISTRIBUTION,0.33,low,-0.03,LOWER_HIGHS_LOWER_LOWS,55.38,-1.0,0.554,0.356,2.38,4.75,RISING,ACCUMULATION,low,-0.111,DOJI,,0.0,0.0,
2022-02-24,646.3111572265625,DISTRIBUTION,0.33,low,-0.266,CONTRACTING_RANGE,16.02,0.0,-0.84,0.043,-3.44,4.3,FALLING,DISTRIBUTION,low,-0.333,DOJI,,0.0,0.0,
