date,close,cycle_phase,cycle_confidence,transition_risk,composite_score,zigzag_structure,stc_value,zigzag_score,stc_score,trend_score,trend_price_vs_sma200_pct,trend_sma50_vs_sma200_pct,stc_direction,raw_phase,raw_transition_risk,candlestick_score,candlestick_patterns,harmonic_pattern,harmonic_score,gann_score,gann_active_cycle_days
2021-07-29,661.313232421875,EXPANSION,1.0,low,0.945,HIGHER_HIGHS_HIGHER_LOWS,98.93,1.0,0.834,1.0,21.23,13.95,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2021-08-03,664.102783203125,EXPANSION,1.0,low,0.861,HIGHER_HIGHS_HIGHER_LOWS,99.87,1.0,0.582,1.0,20.83,13.63,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2021-08-06,671.0765991210938,EXPANSION,1.0,low,0.837,HIGHER_HIGHS_HIGHER_LOWS,99.98,1.0,0.51,1.0,21.12,13.29,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2021-08-11,667.1327514648438,EXPANSION,0.67,high,0.519,HIGHER_HIGHS_HIGHER_LOWS,55.79,1.0,-0.442,1.0,19.53,12.97,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2021-08-16,675.8861694335938,EXPANSION,0.67,medium,0.594,HIGHER_HIGHS_HIGHER_LOWS,76.03,1.0,-0.219,1.0,20.19,12.71,FALLING,DISTRIBUTION,medium,-1.0,DOJI,,0.0,0.0,
2021-08-20,654.772216796875,EXPANSION,0.67,high,0.365,HIGHER_HIGHS_HIGHER_LOWS,9.5,1.0,-0.905,1.0,15.58,12.39,FALLING,DISTRIBUTION,high,-1.0,DOJI,,0.0,0.0,
2021-08-25,664.7279663085938,EXPANSION,0.67,high,0.337,HIGHER_HIGHS_HIGHER_LOWS,1.19,1.0,-0.988,1.0,16.52,12.16,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2021-08-30,686.4672241210938,DISTRIBUTION,0.67,high,0.498,HIGHER_HIGHS_HIGHER_LOWS,3.01,1.0,-0.505,1.0,19.53,12.08,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2021-09-02,697.5291748046875,DISTRIBUTION,1.0,low,0.879,HIGHER_HIGHS_HIGHER_LOWS,63.63,1.0,0.636,1.0,20.71,12.32,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2021-09-07,689.5933837890625,DISTRIBUTION,1.0,low,0.985,HIGHER_HIGHS_HIGHER_LOWS,95.45,1.0,0.955,1.0,18.63,12.51,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2021-09-13,680.4552612304688,DISTRIBUTION,1.0,low,0.862,HIGHER_HIGHS_HIGHER_LOWS,90.71,1.0,0.585,1.0,16.4,12.64,RISING,EXPANSION,low,-0.143,"BULLISH_ENGULFING,DOJI",,0.0,0.0,
2021-09-16,699.5010375976562,DISTRIBUTION,0.67,high,0.387,HIGHER_HIGHS_HIGHER_LOWS,16.13,1.0,-0.839,1.0,18.94,12.74,FALLING,DISTRIBUTION,high,0.6,"BULLISH_ENGULFING,DOJI",,0.0,0.0,
2021-09-21,684.7356567382812,DISTRIBUTION,0.67,high,0.007,CONTRACTING_RANGE,2.02,0.0,-0.98,1.0,15.75,12.73,FALLING,DISTRIBUTION,high,1.0,"BULLISH_ENGULFING,DOJI",,0.0,0.0,
